name,mail,purchase
김민지,minji.kim@gmail.com,5
이준호,junho.lee@gmail.com,2
박서연,seoyeon.park@gmail.com,8
최민수,minsu.choi@gmail.com,1
정하늘,haneul.jung@gmail.com,3
윤지호,jiho.yoon@gmail.com,7
한수빈,subin.han@gmail.com,4
강예린,yerin.kang@gmail.com,9
오지훈,jihun.oh@gmail.com,6
배유진,yujin.bae@gmail.com,10
기다은,daeun.seo@gmail.com,2
홍현우,hyunwoo.hong@gmail.com,5
임하늘,haneul.lim@gmail.com,3
배지민,jimin.moon@gmail.com,8
조은비,eunbi.cho@gmail.com,4
장도윤,doyun.shin@gmail.com,1
고서현,seohyun.kwon@gmail.com,6
구태현,taehyun.no@gmail.com,9
백지우,jiwoo.baek@gmail.com,7
양수아,sua.yang@gmail.com,5
정민규,mingyu@gmail.com,7
신성효,sunghyo@gmail.com,2
허허허,gjgj@gmail.com,4
