name,mail,purchase
최민수,minsu.choi@gmail.com,1
장도윤,doyun.shin@gmail.com,1
신성효,sunghyo@gmail.com,2
기다은,daeun.seo@gmail.com,2
이준호,junho.lee@gmail.com,2
임하늘,haneul.lim@gmail.com,3
정하늘,haneul.jung@gmail.com,3
허허허,gjgj@gmail.com,4
한수빈,subin.han@gmail.com,4
조은비,eunbi.cho@gmail.com,4
양수아,sua.yang@gmail.com,5
김민지,minji.kim@gmail.com,5
홍현우,hyunwoo.hong@gmail.com,5
오지훈,jihun.oh@gmail.com,6
고서현,seohyun.kwon@gmail.com,6
백지우,jiwoo.baek@gmail.com,7
정민규,mingyu@gmail.com,7
윤지호,jiho.yoon@gmail.com,7
박서연,seoyeon.park@gmail.com,8
배지민,jimin.moon@gmail.com,8
강예린,yerin.kang@gmail.com,9
구태현,taehyun.no@gmail.com,9
배유진,yujin.bae@gmail.com,10
